nct_id,title,acronym,status,study_results,conditions,interventions,outcome_measures,sponsors,gender,min_age,max_age,age_groups,phases,enrollment,funded_bys,study_types,exp_acc_types,study_designs,other_ids,start_date,primary_completion_date,completion_date,study_first_posted,last_update_posted,locations,documents,url
NCT04333550,Application of Desferal to Treat COVID-19, ,Recruiting,No Results Available,COVID-19,Deferoxamine,Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay,Kermanshah University of Medical Sciences,All,3 Years,99 Years,Child|Adult|Older Adult,Phase 1|Phase 2,50,Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1398.1224,April 2020,September 2020,March 2021,"April 3, 2020","May 4, 2020","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of", ,https://ClinicalTrials.gov/show/NCT04333550
NCT04432987,Dornase Alpha for the Treatment of COVID-19, ,Recruiting,No Results Available,COVID-19,Pulmozyme,Response|Survival,Acibadem University|The Scientific and Technological Research Council of Turkey,All,18 Years, ,Adult|Older Adult,Phase 2,60,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8820,"May 25, 2020","August 25, 2020","September 25, 2020","June 16, 2020","June 16, 2020","Acıbadem Altunizade Hospital, Istanbul, Turkey", ,https://ClinicalTrials.gov/show/NCT04432987
NCT04537559,Impact of COVID-19 Outbreak on Non-COVID-19 Patients,NoCOVImpact,Enrolling by invitation,No Results Available,COVID-19, ,"Intra-hospital mortality|composite outcome (worsening during hospitalization)|Pathologies leading to hospitalization|overall mortality at 3 months (90 days)|Potentially avoidable readmission rate|mortality rate by pathology at 3 months|length of stay|rate of transfer to intermediate or intensive care|rate of transfer to rehabilitation care|specific gravity outcomes for patients with pneumonia : CURB 65 scale (Confusion, Urea, Respiratory rate, Blood pressure, Age [>65])|specific gravity outcomes for patients with cardiac Failure : KILLIP class|specific gravity outcomes for patients with cardiac Failure : Weight variation|specific gravity outcomes for patients with cardiac Failure or lung disease|Leukocytes serum level|Polynuclear neutrophils serum level|Lymphocytes serum level|Hemoglobin serum level|Thrombocytes serum level|Quick serum level|INR (International Normalized Ratio)|fibrinogen serum level|PTT serum level (partial Thromboplastin time)|D-Dimers serum level|glucose serum level|glycated hemoglobin serum level (HbA1C)|C-reactive protein serum level (CRP)|sodium serum level|potassium serum level|chlorides serum level|calculated osmolality serum level|Phosphates serum level|corrected calcium serum level|urea serum level|creatinine serum level|eGFR (CKD-EPI) serum level|albumin serum level|prealbumin serum level|cyanocobalamin serum level|folate serum level|25-hydroxy vitamin D (D2 + D3) serum level|proBNP (Brain Natriuretic Peptid) serum level|Ultra sensitive Troponin T serum level|ASAT (aspartate transaminase) serum level|ALAT (alanine aminotransferase) serum level|Alkaline phosphatases serum level|Gamma glutamyl transpeptidase. serum level|Total bilirubin serum level|ferritin serum level|TSH serum level|Arterial pH|Arterial pCO2 (carbon dioxide partial pressure)|Arterial pO2 (oxygen partial pressure)|Arterial lactate|Arterial HCO3 (bicarbonate)|protein serum level|Arterial pressure|cardiac rates|respiratory rates|temperature|oxygen saturation|peak flow|specific scales : VAS of pain|specific scales : FIM|specific scales : SOFA score|specific scales : MNA|specific scales : NRS|serum or urine positive bacteriologic sample|Patient questionnaire","University Hospital, Geneva|Thomas Agoritsas|Sebastian Carballo|Pauline Darbellay|Olivier Grosgurin|Christophe Marti|Mathieu Nendaz|Jean-Luc Reny|Jacques Serratrice|Aimad Ourahmoune|Delphine Courvoisier|Virginie Prendki|Christine Serratrice|Dina Zekry|Omar Kherad|Eric Gerstel",All,16 Years, ,Child|Adult|Older Adult, ,40000,Other,Observational, ,Observational Model: Cohort|Time Perspective: Retrospective,2020-01017,"March 1, 2020","July 31, 2020","October 31, 2020","September 3, 2020","September 7, 2020","Geneva University Hospital, Geneva, Canton De Genève, Switzerland", ,https://ClinicalTrials.gov/show/NCT04537559
NCT04628143,A Study Evaluating the Efficacy and Safety of CKD-314 in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia, ,Completed,No Results Available,COVID-19,Nafamostat Mesilate,Time to clinical improvement|Time to recovery|Proportion of patients with clinical improvement as defined by live discharge from hospital or a decline of 2 categories on the seven-category ordinal scale of clinical status,Chong Kun Dang Pharmaceutical,All,18 Years, ,Adult|Older Adult,Phase 2,13,Industry,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,A108_01CVD2013,"December 21, 2020","April 5, 2021","April 5, 2021","November 13, 2020","August 13, 2021","Korea Cancer Center Hospital, Seoul, Korea, Republic of", ,https://ClinicalTrials.gov/show/NCT04628143
NCT04869228,"A Phase 3 Randomized, Double-Blind Placebo Controlled, Multi-regional Trial to Evaluate the Efficacy and Safety of GT0918 for the Treatment of Mild to Moderate COVID-19 Male Patients", ,Recruiting,No Results Available,COVID-19,GT0918 tablets or placebo,"Percentage of subjects requiring oxygen by Day 28|Percentage of subjects who experience the events(such as hospitalization,Death etc.) by Day 28. (not applicable for subjects whose countries require mild to moderate COVID-19 patients to be hospitalised, such as COVID-19 patients in mainland China)","Suzhou Kintor Pharmaceutical Inc,",Male,18 Years, ,Adult|Older Adult,Phase 3,724,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",GT0918-MR-3001,"August 4, 2021","February 28, 2022","May 30, 2022","May 3, 2021","October 19, 2021","Hospital Santa Paula, São Paulo, SP, Brazil", ,https://ClinicalTrials.gov/show/NCT04869228
NCT04568031,Study of AZD1222 for the Prevention of COVID-19 in Japan, ,Completed,No Results Available,COVID-19,AZD1222|0.9% (w/v) saline,"Proportion of participants who have a post treatment seroresponse to the spike antigens of AZD1222|The incidence of local and systemic solicited reactogenicity signs and symptoms for 7 days following throughout vaccination|The incidence of AEs, serious adverse events (SAEs) and adverse events of special interest (AESIs)|Biochemistry; change from baseline for blood chemistry measures|Haematology; change from baseline for hematology/hemostasis measures|Proportion of participants who have a post treatment|Genometric mean titres and genometric mean fold rise|Proportion of participants who have a post treatment seroresponse to AZD1222 as measured by SARS-CoV-2 nAbs|The incidence of serious adverse events (SAEs) and adverse events of specisl interest (AESIs) collected from Day1 through Day365",AstraZeneca|Iqvia Pty Ltd,All,18 Years, ,Adult|Older Adult,Phase 1|Phase 2,256,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",D8111C00002,"August 23, 2020","November 22, 2021","November 22, 2021","September 29, 2020","November 30, 2021","Research Site, Fukuoka-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Minato-ku, Japan|Research Site, Sumida-ku, Japan|Research Site, Toshima-ku, Japan", ,https://ClinicalTrials.gov/show/NCT04568031
NCT04336904,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19, ,"Active, not recruiting",No Results Available,COVID-19,Favipiravir|Placebo,Time from randomization to clinical recovery|Time from randomization to negativity in RT-PCR nucleic acid test|Incidence of deterioration/aggravation of pneumonia|Time from randomization to resolution of pyrexia|Time from randomization to relief of cough|Time from randomization to relief of dyspnoea|Rate of auxiliary oxygen therapy|ICU admission rate|Mortality,Giuliano Rizzardini|ASST Fatebenefratelli Sacco,All,18 Years,75 Years,Adult|Older Adult,Phase 3,100,Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",HS216C17-PHASE III,"March 25, 2020",July 2020,July 2020,"April 7, 2020","April 8, 2020","Asst Fatebenefratelli Sacco, Milano, Italy", ,https://ClinicalTrials.gov/show/NCT04336904
NCT05074394,Randomized Study to Evaluate Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With Mild COVID-19 Infection,US,Withdrawn,No Results Available,COVID-19,COVI-DROPS|Placebo,Proportion of subjects who have a COVID-19-related visit or hospitalization|Viral load change from baseline to Day 15 (D15)|Proportion of subjects who have a COVID-19-related visit or hospitalization based on stratification groups,"Sorrento Therapeutics, Inc.",All,18 Years, ,Adult|Older Adult,Phase 2,0,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",DRP-COV-206US,November 2021,November 2022,January 2023,"October 12, 2021","February 3, 2022", , ,https://ClinicalTrials.gov/show/NCT05074394
NCT04354831,A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection, ,"Active, not recruiting",No Results Available,COVID-19,anti-SARS-CoV-2 convalescent plasma,Overall Mortality within 60 days|Length of ICU stay during current admission for COVID,Medical College of Wisconsin|Froedtert Hospital,All,18 Years, ,Adult|Older Adult,Phase 2,131,Other,Interventional, ,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PRO00037712,"May 11, 2020","May 1, 2022","May 1, 2023","April 21, 2020","November 15, 2021","Froedtert Hospital, Milwaukee, Wisconsin, United States", ,https://ClinicalTrials.gov/show/NCT04354831
NCT04582266,PK and Safety of Remdesivir for Treatment of COVID-19 in Pregnant and Non-Pregnant Women in the US, ,"Active, not recruiting",No Results Available,COVID-19,Remdesivir,"PK Outcome: Area under the plasma concentration-time curve (AUC) of RDV|PK Outcome: Half-life (t1/2) of RDV|PK Outcome: Trough concentration (Ctrough) of GS-441524|Safety Outcome: Maternal renal adverse event (AE) of any grade|Safety Outcome: Maternal hepatic AE of any grade|Safety Outcome: Maternal hematologic AE of any grade|Safety Outcome: Maternal Grade 3 or higher AE|Safety Outcome: Serious AE|Safety Outcome: Maternal Grade 3 or higher AE assessed as related to RDV by the Clinical Management Committee (CMC)|Safety Outcome: Pregnancy loss|Safety Outcome: Congenital anomalies|Safety Outcome: Preterm birth, defined as < 37 weeks|Safety Outcome: Preterm birth, defined as < 34 weeks|Safety Outcome: Small for gestational age, defined as < 10th percentile|Safety Outcome: Newborn birth weight|Safety Outcome: Newborn length|Safety Outcome: Newborn head circumference|PK Outcome: AUC of RDV|PK Outcome: t1/2 of RDV|PK Outcome: Ctrough of GS-441524|Safety Outcome: Renal AE of any grade|Safety Outcome: Hepatic AE of any grade|Safety Outcome: Hematologic AE of any grade|Safety Outcome: Grade 3 or higher AE|Safety Outcome: Grade 3 or higher AE assessed as related to RDV by the CMC",National Institute of Allergy and Infectious Diseases (NIAID),Female, , ,Child|Adult|Older Adult, ,40,NIH,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,IMPAACT 2032|DAIDS Study ID 38746,"February 12, 2021","April 1, 2022","April 1, 2022","October 9, 2020","February 2, 2022","USC/Los Angeles County Medical Center NICHD CRS (5048), Los Angeles, California, United States|David Geffen School of Medicine at UCLA (CRS 5112), Los Angeles, California, United States|University California, San Diego (CRS 4601), San Diego, California, United States|Childrens Hospital (U. Colorado, Denver) NICHD CRS (5052), Denver, Colorado, United States|University of Florida (5051), Jacksonville, Florida, United States|Univ of Miami Pediatric/Perinatal HIV/AIDS (4201), Miami, Florida, United States|Emory University School of Medicine (CRS 5030), Atlanta, Georgia, United States|Ann & Robert H Lurie Children's Hospital of Chicago (4001), Chicago, Illinois, United States|Rush University Cook County Hospital NICHD CRS (5083), Chicago, Illinois, United States|Johns Hopkins University NICHD CRS (5092), Baltimore, Maryland, United States|Boston Medical Center Ped. HIV Program NICHD CRS (5011), Boston, Massachusetts, United States|Bronx-Lebanon Hospital Center (CRS 5114), Bronx, New York, United States|Jacobi Med. Ctr. Bronx NICHD CRS (5013), Bronx, New York, United States|Stony Brook University Medical Center (CRS 5040), Stony Brook, New York, United States|St. Jude Childrens Research Hosp, Memphis (6501), Memphis, Tennessee, United States|Texas Children's Hospital (Site 5128), Houston, Texas, United States|IMPAACT/ Gamma Project/ UPR Pediatric HIV/AIDS Research CRS, San Juan, Puerto Rico|University of Puerto Rico Pediatric HIV/AIDS CRS (6601), San Juan, Puerto Rico", ,https://ClinicalTrials.gov/show/NCT04582266
NCT04723394,Phase III Study of AZD7442 for Treatment of COVID-19 in Outpatient Adults,TACKLE,"Active, not recruiting",No Results Available,COVID-19,AZD7442|Placebo,"A composite of either severe COVID-19 or death from any cause through Day 29.|AEs, SAEs, and AESIs through end of study.|A composite of either death from any cause or hospitalization for COVID-19 complications or sequelae during the 168-day post-dose period (Day 1 to Day 169).|The incidence of participants with respiratory failure, defined as requirement for mechanical ventilation, ECMO, non-invasive ventilation, or high-flow nasal cannula oxygen delivery.|COVID-19 symptom severity assessments based on symptom severity scores over time during the 28-day period from and including the day of the dose of AZD7442 or placebo.|Progression through Day 29 of one or more COVID-19-associated symptoms to a worse status than recorded in the participant-reported symptom diary at study entry, prior to start of AZD7442 or placebo.|Detection (detectable versus undetectable) from baseline of SARS-CoV-2 RNA from nasal swabs through Day 29.|Level of SARS-CoV-2 RNA from nasal swabs through Day 29.|Change from baseline of SARS-CoV-2 RNA from nasal swabs through Day 29.|Time to return to usual (pre-COVID-19) health through Day 29.|Duration of fever through Day 29 defined as the last day in the participant-reported symptom diary on which a temperature greater than 100°F (37.8° C) was recorded or a potentially antipyretic drug, such as acetaminophen or ibuprofen, was taken.|Incidence of ADA to AZD7442 in serum over time.|Pharmacokinetics - Serum Concentration|Pharmacokinetics - Maximum Serum Concentration|Pharmacokinetics - Time to Maximum Serum Concentration|Pharmacokinetics - Area under the plasma concentration-time curve to the last measurable time point|Pharmacokinetics - Area under the plasma concentration-time curve extrapolated to infinity",AstraZeneca,All,18 Years, ,Adult|Older Adult,Phase 3,910,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",D8851C00001,"January 28, 2021","August 21, 2021","October 21, 2022","January 25, 2021","September 20, 2021","Research Site, Jasper, Alabama, United States|Research Site, Tucson, Arizona, United States|Research Site, Long Beach, California, United States|Research Site, Northridge, California, United States|Research Site, Cutler Bay, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Chicago, Illinois, United States|Research Site, Lake Charles, Louisiana, United States|Research Site, Saint Louis, Missouri, United States|Research Site, La Vista, Nebraska, United States|Research Site, New York, New York, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Statesville, North Carolina, United States|Research Site, Fargo, North Dakota, United States|Research Site, Columbus, Ohio, United States|Research Site, West Columbia, South Carolina, United States|Research Site, Dallas, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Humble, Texas, United States|Research Site, Buenos Aires, Argentina|Research Site, Buenos Aires, Argentina|Research Site, Ciudad de Buenos Aires, Argentina|Research Site, Munro, Argentina|Research Site, Blumenau, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Ribeirão Preto, Brazil|Research Site, Sorocaba, Brazil|Research Site, São Paulo, Brazil|Research Site, Plovdiv, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Vratsa, Bulgaria|Research Site, Bilina, Czechia|Research Site, Hradec Kralove, Czechia|Research Site, Kolin, Czechia|Research Site, Ostrava, Czechia|Research Site, Svitavy, Czechia|Research Site, Berlin - Friedrichshain, Germany|Research Site, Berlin, Germany|Research Site, Berlin, Germany|Research Site, Frankfurt/Main, Germany|Research Site, Frankfurt, Germany|Research Site, Hamburg, Germany|Research Site, Hannover, Germany|Research Site, Koblenz, Germany|Research Site, Köln, Germany|Research Site, Mainz, Germany|Research Site, München-Pasing, Germany|Research Site, München, Germany|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Debrecen, Hungary|Research Site, Gyöngyös, Hungary|Research Site, Nyíregyháza, Hungary|Research Site, Tatabánya, Hungary|Research Site, Bologna, Italy|Research Site, Guastalla, Italy|Research Site, Milano, Italy|Research Site, Milano, Italy|Research Site, Napoli, Italy|Research Site, Piacenza, Italy|Research Site, Pisa, Italy|Research Site, Roma, Italy|Research Site, Chiba-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Iruma-Gun, Japan|Research Site, Kyoto-shi, Japan|Research Site, Maebashi-shi, Japan|Research Site, Narita-shi, Japan|Research Site, Sendai-shi, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Shinjuku-ku, Japan|Research Site, Chihuahua, Mexico|Research Site, Cuauhtemoc, Mexico|Research Site, Cuautitlan Izcalli, Mexico|Research Site, Ecatepec de Morelos, Mexico|Research Site, Guadalajara, Mexico|Research Site, Guadalajara, Mexico|Research Site, Mazatlán, Mexico|Research Site, Monterrey, Mexico|Research Site, Mérida, Mexico|Research Site, Tlalpan, Mexico|Research Site, Tlalpan, Mexico|Research Site, Lima, Peru|Research Site, Rzeszów, Poland|Research Site, Wołomin, Poland|Research Site, Moscow, Russian Federation|Research Site, Murmansk, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Cabra, Spain|Research Site, Centelles (Barcelona), Spain|Research Site, Girona, Spain|Research Site, Madrid, Spain|Research Site, Málaga, Spain|Research Site, Dnipro, Ukraine|Research Site, Ivano-Frankivsk, Ukraine|Research Site, Kherson, Ukraine|Research Site, Blackpool, United Kingdom|Research Site, Bracknell, United Kingdom|Research Site, Bristol, United Kingdom|Research Site, Cambridge, United Kingdom|Research Site, Connor Downs, United Kingdom|Research Site, Highgate, United Kingdom|Research Site, Leicester, United Kingdom|Research Site, Preston, United Kingdom|Research Site, Rochdale, United Kingdom", ,https://ClinicalTrials.gov/show/NCT04723394
